                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.07777,                0.85106,                0.86331,                0.94471,                0.87123,                0.94143,                0.94142,                0.05588,                0.30005,                0.90283,               0.006436,               0.006436,               0.006436
                     38,                0.07749,                0.84673,                0.86238,                0.93096,                0.86915,                0.93886,                0.93813,                0.05274,                0.29092,                0.90575,               0.006337,               0.006337,               0.006337
                     39,                0.07749,                0.84819,                0.86352,                0.94947,                0.86033,                0.94351,                0.94335,                0.05378,                0.29855,                0.90369,               0.006238,               0.006238,               0.006238
                     40,                0.07605,                0.82494,                0.86389,                0.93926,                0.87262,                 0.9432,                0.94237,                0.05586,                0.28892,                0.90358,               0.006139,               0.006139,               0.006139
                     41,                0.07505,                0.81913,                0.86246,                0.94474,                0.86777,                 0.9463,                0.94528,                0.04683,                0.27123,                0.90261,                0.00604,                0.00604,                0.00604
                     42,                0.07471,                0.81211,                0.86227,                0.93875,                0.88794,                0.95017,                0.94995,                 0.0518,                0.27707,                0.90222,               0.005941,               0.005941,               0.005941
                     43,                0.07345,                0.81422,                0.86135,                0.95863,                 0.8791,                0.94923,                0.94907,                0.05494,                0.27227,                0.90299,               0.005842,               0.005842,               0.005842
                     44,                0.07234,                0.81136,                0.86382,                0.92212,                0.90188,                0.95118,                0.95118,                0.05978,                0.27445,                0.90349,               0.005743,               0.005743,               0.005743
                     45,                0.07162,                0.81237,                0.86316,                0.94364,                0.88757,                0.95491,                0.95491,                0.04818,                0.25963,                0.90227,               0.005644,               0.005644,               0.005644
                     46,                0.07046,                0.77659,                 0.8622,                0.94729,                0.88933,                 0.9551,                 0.9551,                0.05132,                0.26557,                0.90306,               0.005545,               0.005545,               0.005545
                     47,                0.07025,                0.79073,                0.86221,                0.93977,                0.89341,                0.95451,                0.95364,                0.04511,                 0.2471,                0.90225,               0.005446,               0.005446,               0.005446
                     48,                0.06849,                0.77246,                0.86129,                0.94324,                0.89658,                0.95847,                0.95712,                0.04958,                 0.2478,                0.90234,               0.005347,               0.005347,               0.005347
                     49,                0.06788,                0.77836,                0.86258,                0.94595,                0.90466,                0.95816,                0.95803,                0.05062,                0.24643,                 0.9022,               0.005248,               0.005248,               0.005248
                     50,                0.06683,                0.77845,                 0.8631,                0.95273,                0.89533,                 0.9592,                 0.9592,                 0.0469,                0.23362,                 0.9021,               0.005149,               0.005149,               0.005149
                     51,                0.06631,                0.75855,                0.86019,                0.95153,                0.88703,                0.95521,                0.95465,                0.05169,                 0.2524,                 0.9028,                0.00505,                0.00505,                0.00505
                     52,                 0.0658,                0.76549,                 0.8636,                0.95989,                0.88404,                0.95359,                0.95352,                0.04464,                0.24648,                0.90192,               0.004951,               0.004951,               0.004951
                     53,                0.06479,                0.73659,                0.85992,                0.95185,                0.88703,                0.95387,                0.95387,                0.04748,                 0.2394,                0.90159,               0.004852,               0.004852,               0.004852
                     54,                0.06381,                0.73965,                0.86076,                0.96209,                0.88942,                0.95715,                0.95715,                0.04596,                0.23778,                 0.9018,               0.004753,               0.004753,               0.004753
                     55,                0.06375,                0.75232,                0.86148,                0.94904,                0.89092,                0.95599,                0.95599,                0.04565,                0.23688,                0.90224,               0.004654,               0.004654,               0.004654
                     56,                0.06312,                0.72935,                0.86097,                 0.9557,                0.89033,                0.95872,                0.95839,                0.04556,                0.23194,                0.90192,               0.004555,               0.004555,               0.004555
                     57,                0.06183,                0.72609,                0.86043,                 0.9487,                0.89697,                0.95654,                0.95653,                0.04374,                0.23217,                0.90192,               0.004456,               0.004456,               0.004456
                     58,                0.06103,                0.72518,                 0.8605,                0.95047,                 0.8955,                0.95664,                0.95664,                0.04225,                0.22808,                 0.9012,               0.004357,               0.004357,               0.004357
                     59,                0.06075,                0.71719,                0.86142,                0.95237,                0.89167,                0.95969,                0.95969,                0.04362,                0.22889,                0.90134,               0.004258,               0.004258,               0.004258
                     60,                0.05992,                0.71085,                0.85889,                0.95562,                0.88496,                 0.9541,                 0.9541,                0.04491,                 0.2355,                 0.9013,               0.004159,               0.004159,               0.004159
                     61,                0.05997,                0.70771,                0.86112,                0.95283,                0.89413,                0.95614,                0.95614,                0.04325,                0.23114,                0.90159,                0.00406,                0.00406,                0.00406
                     62,                0.05906,                0.69982,                0.86222,                0.92861,                0.90457,                0.95378,                0.95378,                0.04573,                0.23865,                0.90118,               0.003961,               0.003961,               0.003961
                     63,                0.05712,                0.69987,                 0.8606,                0.95476,                0.90385,                 0.9569,                 0.9569,                0.04277,                 0.2346,                0.90141,               0.003862,               0.003862,               0.003862
                     64,                0.05764,                0.68441,                0.85698,                0.95353,                0.90132,                0.95689,                0.95669,                0.04464,                0.22819,                0.90181,               0.003763,               0.003763,               0.003763
                     65,                0.05616,                 0.6934,                0.85885,                0.96613,                 0.8895,                0.96075,                0.96055,                0.04795,                0.22809,                0.90337,               0.003664,               0.003664,               0.003664
                     66,                0.05638,                0.67136,                0.86085,                0.94498,                0.90037,                0.96035,                0.96029,                 0.0447,                0.22406,                0.90202,               0.003565,               0.003565,               0.003565
                     67,                0.05554,                 0.6732,                0.86013,                0.96251,                0.88978,                0.95978,                0.95978,                0.04847,                0.23059,                0.90183,               0.003466,               0.003466,               0.003466
                     68,                0.05386,                0.66047,                0.86105,                0.94595,                0.90281,                0.95856,                0.95802,                0.04445,                0.22906,                0.90104,               0.003367,               0.003367,               0.003367
