                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3708,                0.76907,                 1.1038,                 0.8601,                0.81783,                0.88281,                0.54068,                 1.3394,                  0.732,                 1.1062,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3672,                0.77055,                 1.1044,                0.84804,                0.82393,                0.88483,                0.53976,                 1.3423,                0.73257,                 1.1106,               0.001307,               0.001307,               0.001307
                     37,                 1.3675,                 0.7628,                  1.101,                0.85108,                0.81911,                 0.8876,                0.53856,                 1.3425,                0.72903,                 1.1093,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3588,                0.75983,                 1.0981,                0.85365,                0.82026,                0.88331,                0.53915,                 1.3367,                0.72802,                 1.1071,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3569,                0.75972,                 1.1007,                0.86332,                0.81486,                0.88932,                0.54357,                 1.3372,                 0.7118,                  1.104,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3483,                0.75076,                 1.0945,                0.85411,                0.83244,                0.88698,                0.53428,                 1.3718,                0.71989,                 1.1171,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3559,                0.74873,                 1.0956,                0.86281,                 0.8176,                0.88347,                0.53067,                  1.366,                0.73659,                 1.1197,               0.001208,               0.001208,               0.001208
                     42,                 1.3386,                0.74542,                 1.0958,                0.85967,                0.81727,                0.88592,                0.54597,                 1.3272,                0.71182,                 1.1077,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3413,                0.74058,                 1.0902,                0.86621,                0.81504,                0.88293,                0.54471,                 1.3216,                0.71137,                 1.1007,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3349,                0.73656,                 1.0846,                0.86541,                0.80947,                0.88785,                0.53414,                 1.3771,                0.72357,                 1.1126,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3336,                0.72991,                 1.0867,                 0.8599,                0.82492,                0.88851,                0.54282,                 1.3505,                0.70723,                 1.1118,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3347,                0.72818,                 1.0883,                0.84906,                0.83045,                0.88539,                0.53776,                 1.3625,                0.71289,                 1.1121,               0.001109,               0.001109,               0.001109
                     47,                 1.3321,                0.72864,                 1.0837,                0.85844,                0.81798,                0.88517,                0.53819,                 1.3615,                0.71995,                 1.1095,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.3296,                0.73109,                 1.0906,                0.85709,                0.82385,                0.88769,                 0.5509,                 1.3245,                0.69461,                 1.0985,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3255,                0.72248,                 1.0838,                0.85427,                0.83353,                0.88904,                0.54596,                 1.3473,                0.70215,                 1.1095,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.3212,                0.71816,                 1.0814,                0.85468,                0.82874,                0.88866,                 0.5479,                 1.3259,                0.70167,                 1.1017,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3219,                0.71977,                 1.0842,                0.86584,                0.82521,                0.88961,                0.54357,                 1.3545,                0.70139,                 1.1094,                0.00101,                0.00101,                0.00101
                     52,                  1.334,                0.72165,                  1.082,                 0.8575,                0.83527,                 0.8924,                0.55013,                 1.3333,                0.69395,                 1.1032,              0.0009902,              0.0009902,              0.0009902
